name	version	description	private	main	types	repository	homepage	license	dependencies	devDependencies
@dotdo/ai	0.0.1	AI routing layer with template literals and multi-provider support for dotdo	false	./dist/index.js	./dist/index.d.ts	https://github.com/dot-do/dotdo	https://dotdo.dev	MIT	2	3
@dotdo/api	0.0.1	Self-describing Hono API with HATEOAS for dotdo - auto-generates SDK, CLI, and MCP	false	./dist/index.js	./dist/index.d.ts	https://github.com/dot-do/dotdo	https://dotdo.dev	MIT	6	2
@dotdo/app	0.0.1		false						7	11
@dotdo/auth	0.0.1	JWT-based authentication for dotdo using jose	false	./dist/index.js	./dist/index.d.ts	https://github.com/dot-do/dotdo	https://dotdo.dev	MIT	4	1
@dotdo/business	0.0.1	Business-as-Code implementation for dotdo - BusinessDO with analytics, finance, experiments, and OKRs	false	./dist/index.js	./dist/index.d.ts	https://github.com/dot-do/dotdo	https://dotdo.dev	MIT	3	2
@dotdo/business-finance	0.0.1	Finance module for dotdo Business-as-Code - Stripe integration and financial operations	false	./index.ts	./index.ts	https://github.com/dot-do/dotdo	https://dotdo.dev	MIT	1	2
@dotdo/clickhouse	0.0.1	ClickHouse WASM analytics client for dotdo - wraps chdb with R2 storage	false	./dist/index.js	./dist/index.d.ts	https://github.com/dot-do/dotdo	https://dotdo.dev	MIT	0	2
@dotdo/core	0.0.1	Core types and DBClient interface for dotdo database abstraction	false	./dist/index.js	./dist/index.d.ts	https://github.com/dot-do/dotdo	https://dotdo.dev	MIT	0	1
@dotdo/db	0.0.1	Abstract storage layer for dotdo Digital Objects (Things, Relationships, Events)	false	./dist/index.js	./dist/index.d.ts	https://github.com/dot-do/dotdo	https://dotdo.dev	MIT	1	1
@dotdo/do	0.0.1	THE Durable Object for Digital Objects - core DO class with SQLite storage	false	./dist/index.js	./dist/index.d.ts	https://github.com/dot-do/dotdo	https://dotdo.dev	MIT	10	2
@dotdo/example-ai-agent	0.1.0	AI agent example using dotdo for state management	true						2	5
@dotdo/example-auth-patterns	0.1.0	Authentication patterns example using dotdo Durable Objects	true						2	5
@dotdo/example-collaboration	0.1.0	Real-time collaboration example using dotdo with WebSockets	true						2	5
